"Population by disability type","Number"
"Blind/low vision",""
"Female","574"
"Male","595"
"","1169"
"Deaf/hard of hearing",""
"Female","539"
"Male","578"
"","1117"
"Deaf-Blind",""
"Female","54"
"Male","63"
"","117"
"Intellectual disable",""
"Female","130"
"Male","165"
"","295"
"Mental disable",""
"Female","289"
"Male","307"
"","596"
"Multiple disable",""
"Female","272"
"Male","389"
"","661"
"No disability",""
"Female","155594"
"Male","115789"
"","271383"
"Physical",""
"Female","1144"
"Male","1543"
"","2687"
"Speech problem",""
"Female","430"
"Male","550"
"","980"
