"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","14"
"Male","15"
"Bangali",""
"Female","41"
"Male","42"
"Baraee",""
"Female","31"
"Male","36"
"Bhote",""
"Female","5"
"Male","6"
"Bin",""
"Female","469"
"Male","478"
"Brahman - Hill",""
"Female","83"
"Male","82"
"Chamar/ Harijan/ Ram",""
"Female","878"
"Male","952"
"Chhetri",""
"Female","18"
"Male","16"
"Dhanuk",""
"Female","111"
"Male","97"
"Dhobi",""
"Female","22"
"Male","23"
"Dom",""
"Female","15"
"Male","16"
"Dusadh/ Pasawan/ Pasi",""
"Female","636"
"Male","653"
"Hajam/Thakur",""
"Female","87"
"Male","83"
"Jhangad/ Dhagar",""
"Female","35"
"Male","39"
"Kalwar",""
"Female","15"
"Male","22"
"Kami",""
"Female","28"
"Male","20"
"Kanu",""
"Female","174"
"Male","191"
"Kayastha",""
"Female","37"
"Male","43"
"Kewat",""
"Female","59"
"Male","73"
"Koiri/Kushwaha",""
"Female","245"
"Male","266"
"Kumal",""
"Female","8"
"Male","8"
"Kurmi",""
"Female","84"
"Male","91"
"Limbu",""
"Female","10"
"Male","4"
"Lohar",""
"Female","30"
"Male","30"
"Magar",""
"Female","18"
"Male","14"
"Mallaha",""
"Female","38"
"Male","52"
"Musahar",""
"Female","800"
"Male","759"
"Musalman",""
"Female","663"
"Male","721"
"Natuwa",""
"Female","23"
"Male","28"
"Newar",""
"Female","10"
"Male","16"
"Nuniya",""
"Female","81"
"Male","119"
"Others",""
"Female","27"
"Male","18"
"Rajput",""
"Female","20"
"Male","33"
"Sanyasi/Dasnami",""
"Female","20"
"Male","25"
"Sonar",""
"Female","6"
"Male","5"
"Tamang",""
"Female","12"
"Male","13"
"Teli",""
"Female","158"
"Male","172"
"Terai Others",""
"Female","13"
"Male","23"
"Tharu",""
"Female","6109"
"Male","5762"
"Yadav",""
"Female","265"
"Male","321"
