"Population by disability type","Number"
"Blind/low vision",""
"Female","118"
"Male","122"
"","240"
"Deaf/hard of hearing",""
"Female","117"
"Male","165"
"","282"
"Deaf-Blind",""
"Female","19"
"Male","20"
"","39"
"Intellectual disable",""
"Female","43"
"Male","50"
"","93"
"Mental disable",""
"Female","38"
"Male","30"
"","68"
"Multiple disable",""
"Female","91"
"Male","121"
"","212"
"No disability",""
"Female","28795"
"Male","25659"
"","54454"
"Physical",""
"Female","210"
"Male","282"
"","492"
"Speech problem",""
"Female","133"
"Male","133"
"","266"
