"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","48"
"","89"
"Deaf/hard of hearing",""
"Female","35"
"Male","58"
"","93"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","7"
"Male","2"
"","9"
"Mental disable",""
"Female","16"
"Male","20"
"","36"
"Multiple disable",""
"Female","40"
"Male","41"
"","81"
"No disability",""
"Female","11747"
"Male","9721"
"","21468"
"Physical",""
"Female","106"
"Male","103"
"","209"
"Speech problem",""
"Female","30"
"Male","56"
"","86"
