"Industries Employment","Number"
"Accommodation,  food",""
"Female","776"
"Male","630"
"Administrative, support service",""
"Female","4"
"Male","27"
"Agriculture, forestry and  fishing",""
"Female","698"
"Male","1064"
"Arts, entertainment, recreation",""
"Female","14"
"Male","37"
"Construction",""
"Female","39"
"Male","544"
"Education",""
"Female","1325"
"Male","2069"
"Electricity, gas and water",""
"Female","31"
"Male","348"
"Financial intermediation and insurance",""
"Female","400"
"Male","327"
"Health, social work",""
"Female","1038"
"Male","609"
"Information and communication",""
"Female","22"
"Male","48"
"Manufacturing",""
"Female","533"
"Male","1032"
"Other service activities",""
"Female","616"
"Male","1163"
"Professional, scientific, techniqual activity",""
"Female","16"
"Male","53"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","28"
"Male","97"
"Water supply, wet management",""
"Female","23"
"Male","57"
"Wholesale, retail trade",""
"Female","2814"
"Male","2722"
