"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","44"
"","74"
"Deaf/hard of hearing",""
"Female","34"
"Male","40"
"","74"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","6"
"Male","10"
"","16"
"Mental disable",""
"Female","10"
"Male","17"
"","27"
"Multiple disable",""
"Female","6"
"Male","12"
"","18"
"No disability",""
"Female","10612"
"Male","9052"
"","19664"
"Physical",""
"Female","79"
"Male","131"
"","210"
"Speech problem",""
"Female","36"
"Male","45"
"","81"
