"Employed Population by Occupation","Number"
"Clerical support workers",""
"Female","4000"
"Male","6000"
"Craft and Related Trade Workers",""
"Female","10000"
"Male","47000"
"Elementary Occupation",""
"Female","19000"
"Male","28000"
"Managers",""
"Female","0"
"Male","1000"
"Not elsewhere classified",""
"Female","0"
"Male","1000"
"Plant and Machines Operaters and Assemblers",""
"Female","1000"
"Male","9000"
"Professionals",""
"Female","13000"
"Male","23000"
"Service and Sales Workers",""
"Female","38000"
"Male","37000"
"Skilled agricultural, forestry and fishery workers",""
"Female","16000"
"Male","19000"
"Technician and Associate Professional",""
"Female","4000"
"Male","10000"
