"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","11"
"Male","6"
"Brahman - Hill",""
"Female","2340"
"Male","2114"
"Chhantyal/Chhantel",""
"Female","429"
"Male","324"
"Chhetri",""
"Female","5381"
"Male","4350"
"Damai/Dholi",""
"Female","1565"
"Male","1145"
"Gharti/Bhujel",""
"Female","7"
"Male","7"
"Gurung",""
"Female","204"
"Male","151"
"Hajam/Thakur",""
"Female","1"
"Male","12"
"Halwai",""
"Female","14"
"Male","16"
"Kami",""
"Female","1504"
"Male","1187"
"Kisan",""
"Female","119"
"Male","79"
"Koiri/Kushwaha",""
"Female","3"
"Male","16"
"Magar",""
"Female","4166"
"Male","3118"
"Musalman",""
"Female","56"
"Male","90"
"Newar",""
"Female","687"
"Male","597"
"Others",""
"Female","39"
"Male","83"
"Rai",""
"Female","43"
"Male","34"
"Sanyasi/Dasnami",""
"Female","79"
"Male","43"
"Sarki",""
"Female","1114"
"Male","980"
"Sherpa",""
"Female","6"
"Male","8"
"Tamang",""
"Female","25"
"Male","40"
"Teli",""
"Female","16"
"Male","32"
"Terai Others",""
"Female","13"
"Male","14"
"Thakali",""
"Female","193"
"Male","146"
"Thakuri",""
"Female","473"
"Male","391"
"Tharu",""
"Female","8"
"Male","19"
