"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","33"
"","51"
"Deaf/hard of hearing",""
"Female","30"
"Male","31"
"","61"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","8"
"Male","3"
"","11"
"Mental disable",""
"Female","5"
"Male","7"
"","12"
"Multiple disable",""
"Female","16"
"Male","15"
"","31"
"No disability",""
"Female","3522"
"Male","3243"
"","6765"
"Physical",""
"Female","46"
"Male","57"
"","103"
"Speech problem",""
"Female","9"
"Male","19"
"","28"
