"Population by Educational Attainment","Number"
"Beginners",""
"Female","89"
"Male","92"
"","181"
"Graduate and Equivalent",""
"Female","8"
"Male","15"
"","23"
"Intermediate and Equivalent",""
"Female","34"
"Male","72"
"","106"
"Level not Stated",""
"Female","6"
"Male","4"
"","10"
"Lower Secondary (Class 6-8)",""
"Female","492"
"Male","504"
"","996"
"Non Formal Education",""
"Female","181"
"Male","217"
"","398"
"Others",""
"Female","0"
"Male","2"
"","2"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","7"
"","9"
"Primary Education (1-5 Class)",""
"Female","1131"
"Male","1183"
"","2314"
"Secondary Level (Class 9-10)",""
"Female","188"
"Male","218"
"","406"
"SLC and Equivalent",""
"Female","122"
"Male","171"
"","293"
