"Population by Educational Attainment","Number"
"Beginners",""
"Female","402"
"Male","455"
"","857"
"Graduate and Equivalent",""
"Female","31"
"Male","91"
"","122"
"Intermediate and Equivalent",""
"Female","267"
"Male","229"
"","496"
"Level not Stated",""
"Female","50"
"Male","34"
"","84"
"Lower Secondary (Class 6-8)",""
"Female","2000"
"Male","1711"
"","3711"
"Non Formal Education",""
"Female","1153"
"Male","729"
"","1882"
"Others",""
"Female","1"
"Male","6"
"","7"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","25"
"","26"
"Primary Education (1-5 Class)",""
"Female","4850"
"Male","4634"
"","9484"
"Secondary Level (Class 9-10)",""
"Female","843"
"Male","775"
"","1618"
"SLC and Equivalent",""
"Female","737"
"Male","666"
"","1403"
