"Population by disability type","Number"
"Blind/low vision",""
"Female","82"
"Male","71"
"","153"
"Deaf/hard of hearing",""
"Female","61"
"Male","83"
"","144"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","20"
"Male","26"
"","46"
"Mental disable",""
"Female","28"
"Male","27"
"","55"
"Multiple disable",""
"Female","26"
"Male","35"
"","61"
"No disability",""
"Female","16938"
"Male","13095"
"","30033"
"Physical",""
"Female","122"
"Male","196"
"","318"
"Speech problem",""
"Female","33"
"Male","52"
"","85"
