"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","30"
"","57"
"Deaf/hard of hearing",""
"Female","25"
"Male","29"
"","54"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","9"
"Male","9"
"","18"
"Mental disable",""
"Female","9"
"Male","17"
"","26"
"Multiple disable",""
"Female","24"
"Male","24"
"","48"
"No disability",""
"Female","10791"
"Male","8817"
"","19608"
"Physical",""
"Female","51"
"Male","88"
"","139"
"Speech problem",""
"Female","27"
"Male","32"
"","59"
