"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","38"
"","103"
"Deaf/hard of hearing",""
"Female","38"
"Male","57"
"","95"
"Deaf-Blind",""
"Female","7"
"Male","14"
"","21"
"Intellectual disable",""
"Female","9"
"Male","9"
"","18"
"Mental disable",""
"Female","19"
"Male","19"
"","38"
"Multiple disable",""
"Female","31"
"Male","24"
"","55"
"No disability",""
"Female","11256"
"Male","9984"
"","21240"
"Physical",""
"Female","112"
"Male","141"
"","253"
"Speech problem",""
"Female","27"
"Male","34"
"","61"
