"Population by Educational Attainment","Number"
"Beginners",""
"Female","141"
"Male","156"
"","297"
"Graduate and Equivalent",""
"Female","30"
"Male","91"
"","121"
"Intermediate and Equivalent",""
"Female","179"
"Male","212"
"","391"
"Level not Stated",""
"Female","10"
"Male","18"
"","28"
"Lower Secondary (Class 6-8)",""
"Female","1764"
"Male","1651"
"","3415"
"Non Formal Education",""
"Female","278"
"Male","320"
"","598"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","12"
"","13"
"Primary Education (1-5 Class)",""
"Female","2956"
"Male","3545"
"","6501"
"Secondary Level (Class 9-10)",""
"Female","974"
"Male","1004"
"","1978"
"SLC and Equivalent",""
"Female","605"
"Male","544"
"","1149"
