"Population by Educational Attainment","Number"
"Beginners",""
"Female","263"
"Male","243"
"","506"
"Graduate and Equivalent",""
"Female","48"
"Male","132"
"","180"
"Intermediate and Equivalent",""
"Female","212"
"Male","310"
"","522"
"Level not Stated",""
"Female","31"
"Male","28"
"","59"
"Lower Secondary (Class 6-8)",""
"Female","2101"
"Male","1577"
"","3678"
"Non Formal Education",""
"Female","347"
"Male","460"
"","807"
"Others",""
"Female","9"
"Male","5"
"","14"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","45"
"","51"
"Primary Education (1-5 Class)",""
"Female","4080"
"Male","3594"
"","7674"
"Secondary Level (Class 9-10)",""
"Female","1115"
"Male","863"
"","1978"
"SLC and Equivalent",""
"Female","1155"
"Male","832"
"","1987"
