"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","67"
"","111"
"Deaf/hard of hearing",""
"Female","50"
"Male","56"
"","106"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","17"
"Male","23"
"","40"
"Mental disable",""
"Female","33"
"Male","31"
"","64"
"Multiple disable",""
"Female","24"
"Male","35"
"","59"
"No disability",""
"Female","14906"
"Male","10694"
"","25600"
"Physical",""
"Female","158"
"Male","176"
"","334"
"Speech problem",""
"Female","43"
"Male","59"
"","102"
