"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","49"
"","103"
"Deaf/hard of hearing",""
"Female","50"
"Male","53"
"","103"
"Deaf-Blind",""
"Female","1"
"Male","5"
"","6"
"Intellectual disable",""
"Female","17"
"Male","16"
"","33"
"Mental disable",""
"Female","35"
"Male","43"
"","78"
"Multiple disable",""
"Female","31"
"Male","27"
"","58"
"No disability",""
"Female","26954"
"Male","21523"
"","48477"
"Physical",""
"Female","124"
"Male","193"
"","317"
"Speech problem",""
"Female","47"
"Male","50"
"","97"
