"Population by disability type","Number"
"Blind/low vision",""
"Female","141"
"Male","117"
"","258"
"Deaf/hard of hearing",""
"Female","71"
"Male","87"
"","158"
"Deaf-Blind",""
"Female","9"
"Male","12"
"","21"
"Intellectual disable",""
"Female","39"
"Male","33"
"","72"
"Mental disable",""
"Female","26"
"Male","39"
"","65"
"Multiple disable",""
"Female","45"
"Male","39"
"","84"
"No disability",""
"Female","31470"
"Male","25928"
"","57398"
"Physical",""
"Female","143"
"Male","196"
"","339"
"Speech problem",""
"Female","61"
"Male","59"
"","120"
