"Population by Educational Attainment","Number"
"Beginners",""
"Female","325"
"Male","402"
"Graduate and Equivalent",""
"Female","12"
"Male","41"
"Intermediate and Equivalent",""
"Female","61"
"Male","83"
"Level not Stated",""
"Female","46"
"Male","53"
"Lower Secondary (Class 6-8)",""
"Female","717"
"Male","982"
"Non Formal Education",""
"Female","197"
"Male","190"
"Others",""
"Female","7"
"Male","6"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","5"
"Primary Education (1-5 Class)",""
"Female","2579"
"Male","3093"
"Secondary Level (Class 9-10)",""
"Female","325"
"Male","379"
"SLC and Equivalent",""
"Female","121"
"Male","217"
