"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","29"
"","55"
"Deaf/hard of hearing",""
"Female","51"
"Male","39"
"","90"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","6"
"Male","2"
"","8"
"Mental disable",""
"Female","18"
"Male","8"
"","26"
"Multiple disable",""
"Female","13"
"Male","16"
"","29"
"No disability",""
"Female","9500"
"Male","8250"
"","17750"
"Physical",""
"Female","86"
"Male","107"
"","193"
"Speech problem",""
"Female","25"
"Male","31"
"","56"
