"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","8"
"Male","13"
"Baraee",""
"Female","40"
"Male","50"
"Bin",""
"Female","23"
"Male","23"
"Brahman - Hill",""
"Female","743"
"Male","634"
"Brahman - Tarai",""
"Female","102"
"Male","105"
"Chamar/ Harijan/ Ram",""
"Female","836"
"Male","859"
"Chhetri",""
"Female","762"
"Male","697"
"Damai/Dholi",""
"Female","30"
"Male","43"
"Danuwar",""
"Female","1186"
"Male","1117"
"Dhanuk",""
"Female","111"
"Male","92"
"Dhobi",""
"Female","67"
"Male","78"
"Dhunia",""
"Female","466"
"Male","493"
"Dom",""
"Female","16"
"Male","16"
"Dusadh/ Pasawan/ Pasi",""
"Female","122"
"Male","121"
"Gharti/Bhujel",""
"Female","20"
"Male","16"
"Hajam/Thakur",""
"Female","149"
"Male","148"
"Kalwar",""
"Female","557"
"Male","624"
"Kami",""
"Female","206"
"Male","239"
"Kanu",""
"Female","150"
"Male","161"
"Kathabaniyan",""
"Female","458"
"Male","447"
"Kayastha",""
"Female","58"
"Male","64"
"Khatwe",""
"Female","27"
"Male","42"
"Koiri/Kushwaha",""
"Female","1004"
"Male","1035"
"Kumal",""
"Female","7"
"Male","6"
"Kumhar",""
"Female","57"
"Male","46"
"Kurmi",""
"Female","184"
"Male","214"
"Lohar",""
"Female","223"
"Male","230"
"Magar",""
"Female","324"
"Male","283"
"Majhi",""
"Female","182"
"Male","202"
"Mallaha",""
"Female","32"
"Male","29"
"Marwadi",""
"Female","14"
"Male","15"
"Musahar",""
"Female","872"
"Male","968"
"Musalman",""
"Female","3668"
"Male","3568"
"Newar",""
"Female","119"
"Male","112"
"Nuniya",""
"Female","43"
"Male","37"
"Others",""
"Female","42"
"Male","16"
"Rai",""
"Female","21"
"Male","27"
"Rajput",""
"Female","15"
"Male","13"
"Sanyasi/Dasnami",""
"Female","57"
"Male","60"
"Sarki",""
"Female","8"
"Male","11"
"Sonar",""
"Female","63"
"Male","55"
"Sudhi",""
"Female","88"
"Male","87"
"Tamang",""
"Female","387"
"Male","357"
"Tatma/Tatwa",""
"Female","331"
"Male","356"
"Teli",""
"Female","593"
"Male","613"
"Terai Others",""
"Female","10"
"Male","6"
"Thakuri",""
"Female","17"
"Male","12"
"Tharu",""
"Female","3403"
"Male","3217"
"Undefined Others",""
"Female","16"
"Male","18"
"Yadav",""
"Female","867"
"Male","892"
