"Population by Educational Attainment","Number"
"Beginners",""
"Female","280"
"Male","400"
"","680"
"Graduate and Equivalent",""
"Female","32"
"Male","242"
"","274"
"Intermediate and Equivalent",""
"Female","213"
"Male","619"
"","832"
"Level not Stated",""
"Female","40"
"Male","63"
"","103"
"Lower Secondary (Class 6-8)",""
"Female","1123"
"Male","2150"
"","3273"
"Non Formal Education",""
"Female","31"
"Male","41"
"","72"
"Others",""
"Female","3"
"Male","12"
"","15"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","42"
"","52"
"Primary Education (1-5 Class)",""
"Female","3550"
"Male","5120"
"","8670"
"Secondary Level (Class 9-10)",""
"Female","391"
"Male","994"
"","1385"
"SLC and Equivalent",""
"Female","433"
"Male","1059"
"","1492"
