"Population by disability type","Number"
"Blind/low vision",""
"Female","86"
"Male","67"
"","153"
"Deaf/hard of hearing",""
"Female","14"
"Male","28"
"","42"
"Deaf-Blind",""
"Female","7"
"Male","7"
"","14"
"Intellectual disable",""
"Female","6"
"Male","15"
"","21"
"Mental disable",""
"Female","13"
"Male","16"
"","29"
"Multiple disable",""
"Female","4"
"Male","12"
"","16"
"No disability",""
"Female","22925"
"Male","24257"
"","47182"
"Physical",""
"Female","53"
"Male","101"
"","154"
"Speech problem",""
"Female","31"
"Male","45"
"","76"
