"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","46"
"Male","48"
"","94"
"Baraee",""
"Female","195"
"Male","208"
"","403"
"Bin",""
"Female","319"
"Male","334"
"","653"
"Brahman - Hill",""
"Female","156"
"Male","145"
"","301"
"Brahman - Tarai",""
"Female","898"
"Male","940"
"","1838"
"Chamar/ Harijan/ Ram",""
"Female","818"
"Male","880"
"","1698"
"Dhanuk",""
"Female","1033"
"Male","1041"
"","2074"
"Dhobi",""
"Female","444"
"Male","524"
"","968"
"Dhunia",""
"Female","65"
"Male","69"
"","134"
"Dom",""
"Female","37"
"Male","38"
"","75"
"Dusadh/ Pasawan/ Pasi",""
"Female","1946"
"Male","2053"
"","3999"
"Gaderi/Bhedihar",""
"Female","38"
"Male","38"
"","76"
"Hajam/Thakur",""
"Female","358"
"Male","339"
"","697"
"Halwai",""
"Female","140"
"Male","151"
"","291"
"Kahar",""
"Female","47"
"Male","52"
"","99"
"Kalwar",""
"Female","839"
"Male","814"
"","1653"
"Kanu",""
"Female","160"
"Male","153"
"","313"
"Kathabaniyan",""
"Female","1359"
"Male","1465"
"","2824"
"Kayastha",""
"Female","99"
"Male","100"
"","199"
"Kewat",""
"Female","154"
"Male","177"
"","331"
"Khatwe",""
"Female","354"
"Male","367"
"","721"
"Koiri/Kushwaha",""
"Female","3926"
"Male","4103"
"","8029"
"Kumhar",""
"Female","582"
"Male","631"
"","1213"
"Kurmi",""
"Female","1824"
"Male","1982"
"","3806"
"Lohar",""
"Female","486"
"Male","493"
"","979"
"Mali",""
"Female","65"
"Male","72"
"","137"
"Mallaha",""
"Female","460"
"Male","525"
"","985"
"Marwadi",""
"Female","295"
"Male","317"
"","612"
"Musalman",""
"Female","1746"
"Male","1877"
"","3623"
"Newar",""
"Female","29"
"Male","45"
"","74"
"Nuniya",""
"Female","698"
"Male","750"
"","1448"
"Others",""
"Female","26"
"Male","12"
"","38"
"Rai",""
"Female","6"
"Male","10"
"","16"
"Rajput",""
"Female","87"
"Male","126"
"","213"
"Sanyasi/Dasnami",""
"Female","153"
"Male","163"
"","316"
"Sonar",""
"Female","196"
"Male","195"
"","391"
"Sudhi",""
"Female","15"
"Male","19"
"","34"
"Tatma/Tatwa",""
"Female","254"
"Male","265"
"","519"
"Teli",""
"Female","789"
"Male","869"
"","1658"
"Terai Others",""
"Female","14"
"Male","10"
"","24"
"Tharu",""
"Female","31"
"Male","30"
"","61"
"Undefined Others",""
"Female","10"
"Male","9"
"","19"
"Yadav",""
"Female","1942"
"Male","2109"
"","4051"
