"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","31"
"","73"
"Deaf/hard of hearing",""
"Female","17"
"Male","18"
"","35"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","10"
"Male","9"
"","19"
"Multiple disable",""
"Female","13"
"Male","24"
"","37"
"No disability",""
"Female","8816"
"Male","8788"
"","17604"
"Physical",""
"Female","32"
"Male","68"
"","100"
"Speech problem",""
"Female","16"
"Male","32"
"","48"
