"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","42"
"","70"
"Deaf/hard of hearing",""
"Female","35"
"Male","34"
"","69"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","0"
"Male","1"
"","1"
"Mental disable",""
"Female","13"
"Male","14"
"","27"
"Multiple disable",""
"Female","8"
"Male","9"
"","17"
"No disability",""
"Female","6879"
"Male","6815"
"","13694"
"Physical",""
"Female","78"
"Male","96"
"","174"
"Speech problem",""
"Female","11"
"Male","14"
"","25"
