"Population by Educational Attainment","Number"
"Beginners",""
"Female","178"
"Male","214"
"","392"
"Graduate and Equivalent",""
"Female","7"
"Male","38"
"","45"
"Intermediate and Equivalent",""
"Female","86"
"Male","225"
"","311"
"Level not Stated",""
"Female","12"
"Male","7"
"","19"
"Lower Secondary (Class 6-8)",""
"Female","489"
"Male","763"
"","1252"
"Non Formal Education",""
"Female","252"
"Male","298"
"","550"
"Others",""
"Female","1"
"Male","5"
"","6"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","10"
"","10"
"Primary Education (1-5 Class)",""
"Female","1718"
"Male","1970"
"","3688"
"Secondary Level (Class 9-10)",""
"Female","133"
"Male","343"
"","476"
"SLC and Equivalent",""
"Female","107"
"Male","334"
"","441"
