"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","443"
"Male","477"
"","920"
"Bangali",""
"Female","157"
"Male","162"
"","319"
"Baraee",""
"Female","326"
"Male","364"
"","690"
"Brahman - Hill",""
"Female","1255"
"Male","1378"
"","2633"
"Brahman - Tarai",""
"Female","907"
"Male","941"
"","1848"
"Chamar/ Harijan/ Ram",""
"Female","1935"
"Male","2274"
"","4209"
"Chhetri",""
"Female","316"
"Male","357"
"","673"
"Dalit Others",""
"Female","28"
"Male","30"
"","58"
"Damai/Dholi",""
"Female","33"
"Male","31"
"","64"
"Dhankar/ Dharikar",""
"Female","17"
"Male","21"
"","38"
"Dhobi",""
"Female","430"
"Male","479"
"","909"
"Dhunia",""
"Female","107"
"Male","110"
"","217"
"Dom",""
"Female","15"
"Male","12"
"","27"
"Dusadh/ Pasawan/ Pasi",""
"Female","1480"
"Male","1569"
"","3049"
"Foreigner",""
"Female","29"
"Male","27"
"","56"
"Gaderi/Bhedihar",""
"Female","183"
"Male","191"
"","374"
"Hajam/Thakur",""
"Female","397"
"Male","426"
"","823"
"Halwai",""
"Female","168"
"Male","188"
"","356"
"Jhangad/ Dhagar",""
"Female","6"
"Male","12"
"","18"
"Kahar",""
"Female","1218"
"Male","1320"
"","2538"
"Kalwar",""
"Female","400"
"Male","435"
"","835"
"Kami",""
"Female","102"
"Male","103"
"","205"
"Kathabaniyan",""
"Female","1225"
"Male","1319"
"","2544"
"Kayastha",""
"Female","232"
"Male","265"
"","497"
"Kewat",""
"Female","663"
"Male","747"
"","1410"
"Koiri/Kushwaha",""
"Female","62"
"Male","58"
"","120"
"Kori",""
"Female","429"
"Male","503"
"","932"
"Kumal",""
"Female","4"
"Male","8"
"","12"
"Kumhar",""
"Female","50"
"Male","49"
"","99"
"Kurmi",""
"Female","2206"
"Male","2227"
"","4433"
"Lohar",""
"Female","306"
"Male","343"
"","649"
"Magar",""
"Female","85"
"Male","80"
"","165"
"Mali",""
"Female","90"
"Male","76"
"","166"
"Mallaha",""
"Female","8"
"Male","9"
"","17"
"Marwadi",""
"Female","455"
"Male","523"
"","978"
"Musalman",""
"Female","8461"
"Male","8696"
"","17157"
"Natuwa",""
"Female","23"
"Male","23"
"","46"
"Newar",""
"Female","77"
"Male","75"
"","152"
"Others",""
"Female","30"
"Male","18"
"","48"
"Pattharkatta/ Kushwadiya",""
"Female","72"
"Male","64"
"","136"
"Punjabi/Sikh",""
"Female","10"
"Male","9"
"","19"
"Rai",""
"Female","13"
"Male","13"
"","26"
"Raji",""
"Female","9"
"Male","8"
"","17"
"Rajput",""
"Female","19"
"Male","17"
"","36"
"Sanyasi/Dasnami",""
"Female","129"
"Male","139"
"","268"
"Sonar",""
"Female","69"
"Male","76"
"","145"
"Tamang",""
"Female","7"
"Male","8"
"","15"
"Teli",""
"Female","1003"
"Male","1037"
"","2040"
"Terai Others",""
"Female","311"
"Male","354"
"","665"
"Thakali",""
"Female","7"
"Male","11"
"","18"
"Thakuri",""
"Female","55"
"Male","64"
"","119"
"Tharu",""
"Female","109"
"Male","99"
"","208"
"Undefined Others",""
"Female","7"
"Male","4"
"","11"
"Yadav",""
"Female","3883"
"Male","4470"
"","8353"
