"Population by Caste Ethinicity","Number"
"Baraee",""
"Female","22"
"Male","21"
"","43"
"Brahman - Hill",""
"Female","17"
"Male","10"
"","27"
"Brahman - Tarai",""
"Female","422"
"Male","396"
"","818"
"Chamar/ Harijan/ Ram",""
"Female","750"
"Male","762"
"","1512"
"Chhetri",""
"Female","20"
"Male","23"
"","43"
"Chidimar",""
"Female","8"
"Male","4"
"","12"
"Dhanuk",""
"Female","105"
"Male","117"
"","222"
"Dhobi",""
"Female","310"
"Male","309"
"","619"
"Dusadh/ Pasawan/ Pasi",""
"Female","795"
"Male","786"
"","1581"
"Gharti/Bhujel",""
"Female","5"
"Male","8"
"","13"
"Hajam/Thakur",""
"Female","174"
"Male","184"
"","358"
"Halwai",""
"Female","17"
"Male","17"
"","34"
"Kalwar",""
"Female","25"
"Male","26"
"","51"
"Kanu",""
"Female","410"
"Male","450"
"","860"
"Kathabaniyan",""
"Female","282"
"Male","313"
"","595"
"Kayastha",""
"Female","13"
"Male","11"
"","24"
"Kewat",""
"Female","34"
"Male","30"
"","64"
"Koiri/Kushwaha",""
"Female","1643"
"Male","1693"
"","3336"
"Kumhar",""
"Female","127"
"Male","126"
"","253"
"Kurmi",""
"Female","491"
"Male","503"
"","994"
"Lohar",""
"Female","274"
"Male","278"
"","552"
"Mali",""
"Female","56"
"Male","48"
"","104"
"Mallaha",""
"Female","1282"
"Male","1331"
"","2613"
"Musahar",""
"Female","580"
"Male","597"
"","1177"
"Musalman",""
"Female","160"
"Male","169"
"","329"
"Nuniya",""
"Female","68"
"Male","57"
"","125"
"Others",""
"Female","32"
"Male","11"
"","43"
"Rajdhob",""
"Female","48"
"Male","37"
"","85"
"Rajput",""
"Female","180"
"Male","220"
"","400"
"Sanyasi/Dasnami",""
"Female","24"
"Male","26"
"","50"
"Sonar",""
"Female","547"
"Male","565"
"","1112"
"Teli",""
"Female","508"
"Male","521"
"","1029"
"Terai Others",""
"Female","8"
"Male","8"
"","16"
"Tharu",""
"Female","8"
"Male","3"
"","11"
"Undefined Others",""
"Female","9"
"Male","12"
"","21"
"Yadav",""
"Female","2662"
"Male","3000"
"","5662"
