"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","56"
"","109"
"Deaf/hard of hearing",""
"Female","48"
"Male","51"
"","99"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","9"
"Male","25"
"","34"
"Mental disable",""
"Female","37"
"Male","31"
"","68"
"Multiple disable",""
"Female","29"
"Male","35"
"","64"
"No disability",""
"Female","28345"
"Male","24408"
"","52753"
"Physical",""
"Female","111"
"Male","165"
"","276"
"Speech problem",""
"Female","45"
"Male","68"
"","113"
