"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","28"
"","53"
"Deaf/hard of hearing",""
"Female","12"
"Male","11"
"","23"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","9"
"Male","18"
"","27"
"Multiple disable",""
"Female","5"
"Male","12"
"","17"
"No disability",""
"Female","10982"
"Male","10753"
"","21735"
"Physical",""
"Female","46"
"Male","74"
"","120"
"Speech problem",""
"Female","15"
"Male","13"
"","28"
