"Population by Educational Attainment","Number"
"Beginners",""
"Female","525"
"Male","589"
"Graduate and Equivalent",""
"Female","71"
"Male","208"
"Intermediate and Equivalent",""
"Female","352"
"Male","567"
"Level not Stated",""
"Female","17"
"Male","17"
"Lower Secondary (Class 6-8)",""
"Female","2114"
"Male","2990"
"Non Formal Education",""
"Female","99"
"Male","149"
"Others",""
"Female","6"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","52"
"Primary Education (1-5 Class)",""
"Female","4774"
"Male","5785"
"Secondary Level (Class 9-10)",""
"Female","1030"
"Male","1649"
"SLC and Equivalent",""
"Female","1016"
"Male","1710"
