"Population by Single Year of Age","Number"
"0",""
"Female","219"
"Male","224"
"1",""
"Female","226"
"Male","221"
"10",""
"Female","288"
"Male","340"
"11",""
"Female","280"
"Male","277"
"12",""
"Female","350"
"Male","333"
"13",""
"Female","309"
"Male","292"
"14",""
"Female","329"
"Male","310"
"15",""
"Female","309"
"Male","288"
"16",""
"Female","308"
"Male","280"
"17",""
"Female","328"
"Male","292"
"18",""
"Female","348"
"Male","269"
"19",""
"Female","229"
"Male","178"
"2",""
"Female","214"
"Male","199"
"20",""
"Female","275"
"Male","172"
"21",""
"Female","256"
"Male","145"
"22",""
"Female","286"
"Male","186"
"23",""
"Female","190"
"Male","133"
"24",""
"Female","205"
"Male","117"
"25",""
"Female","207"
"Male","132"
"26",""
"Female","202"
"Male","149"
"27",""
"Female","176"
"Male","138"
"28",""
"Female","184"
"Male","113"
"29",""
"Female","114"
"Male","89"
"3",""
"Female","232"
"Male","262"
"30",""
"Female","215"
"Male","131"
"31",""
"Female","89"
"Male","76"
"32",""
"Female","145"
"Male","103"
"33",""
"Female","123"
"Male","84"
"34",""
"Female","103"
"Male","83"
"35",""
"Female","173"
"Male","136"
"36",""
"Female","129"
"Male","85"
"37",""
"Female","116"
"Male","77"
"38",""
"Female","129"
"Male","95"
"39",""
"Female","118"
"Male","85"
"4",""
"Female","231"
"Male","269"
"40",""
"Female","207"
"Male","162"
"41",""
"Female","113"
"Male","89"
"42",""
"Female","133"
"Male","114"
"43",""
"Female","111"
"Male","87"
"44",""
"Female","117"
"Male","93"
"45",""
"Female","153"
"Male","127"
"46",""
"Female","126"
"Male","109"
"47",""
"Female","87"
"Male","95"
"48",""
"Female","126"
"Male","122"
"49",""
"Female","102"
"Male","81"
"5",""
"Female","289"
"Male","257"
"50",""
"Female","167"
"Male","166"
"51",""
"Female","89"
"Male","93"
"52",""
"Female","96"
"Male","116"
"53",""
"Female","87"
"Male","94"
"54",""
"Female","82"
"Male","91"
"55",""
"Female","96"
"Male","110"
"56",""
"Female","89"
"Male","89"
"57",""
"Female","65"
"Male","70"
"58",""
"Female","78"
"Male","57"
"59",""
"Female","62"
"Male","73"
"6",""
"Female","266"
"Male","250"
"60",""
"Female","83"
"Male","73"
"61",""
"Female","42"
"Male","53"
"62",""
"Female","51"
"Male","44"
"63",""
"Female","45"
"Male","47"
"64",""
"Female","64"
"Male","54"
"65",""
"Female","57"
"Male","50"
"66",""
"Female","52"
"Male","33"
"67",""
"Female","45"
"Male","42"
"68",""
"Female","58"
"Male","65"
"69",""
"Female","41"
"Male","44"
"7",""
"Female","283"
"Male","276"
"70",""
"Female","75"
"Male","53"
"71",""
"Female","25"
"Male","31"
"72",""
"Female","35"
"Male","35"
"73",""
"Female","29"
"Male","41"
"74",""
"Female","26"
"Male","32"
"75",""
"Female","41"
"Male","41"
"76",""
"Female","33"
"Male","20"
"77",""
"Female","29"
"Male","28"
"78",""
"Female","28"
"Male","33"
"79",""
"Female","23"
"Male","11"
"8",""
"Female","276"
"Male","291"
"80",""
"Female","28"
"Male","26"
"81",""
"Female","11"
"Male","8"
"82",""
"Female","21"
"Male","18"
"83",""
"Female","12"
"Male","18"
"84",""
"Female","18"
"Male","14"
"85",""
"Female","71"
"Male","47"
"9",""
"Female","289"
"Male","251"
