"Industries Employment","Number"
"Accommodation,  food",""
"Female","709"
"Male","619"
"Administrative, support service",""
"Female","3"
"Male","16"
"Agriculture, forestry and  fishing",""
"Female","191"
"Male","398"
"Arts, entertainment, recreation",""
"Female","4"
"Male","9"
"Construction",""
"Female","2"
"Male","44"
"Education",""
"Female","1609"
"Male","1925"
"Electricity, gas and water",""
"Female","3"
"Male","48"
"Financial intermediation and insurance",""
"Female","215"
"Male","310"
"Health, social work",""
"Female","315"
"Male","218"
"Information and communication",""
"Female","23"
"Male","49"
"Manufacturing",""
"Female","376"
"Male","1025"
"Other service activities",""
"Female","153"
"Male","199"
"Professional, scientific, techniqual activity",""
"Female","25"
"Male","47"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","53"
"Male","76"
"Water supply, wet management",""
"Female","7"
"Male","47"
"Wholesale, retail trade",""
"Female","2111"
"Male","2109"
