"Population by Educational Attainment","Number"
"Beginners",""
"Female","193"
"Male","201"
"","394"
"Graduate and Equivalent",""
"Female","15"
"Male","43"
"","58"
"Intermediate and Equivalent",""
"Female","143"
"Male","143"
"","286"
"Level not Stated",""
"Female","9"
"Male","18"
"","27"
"Lower Secondary (Class 6-8)",""
"Female","890"
"Male","996"
"","1886"
"Non Formal Education",""
"Female","261"
"Male","212"
"","473"
"Others",""
"Female","4"
"Male","4"
"","8"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","16"
"","17"
"Primary Education (1-5 Class)",""
"Female","2458"
"Male","2762"
"","5220"
"Secondary Level (Class 9-10)",""
"Female","380"
"Male","479"
"","859"
"SLC and Equivalent",""
"Female","263"
"Male","335"
"","598"
