"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","37"
"","67"
"Deaf/hard of hearing",""
"Female","10"
"Male","10"
"","20"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","6"
"Male","2"
"","8"
"Mental disable",""
"Female","7"
"Male","11"
"","18"
"Multiple disable",""
"Female","7"
"Male","13"
"","20"
"No disability",""
"Female","9916"
"Male","8328"
"","18244"
"Physical",""
"Female","87"
"Male","97"
"","184"
"Speech problem",""
"Female","24"
"Male","22"
"","46"
