"Population by disability type","Number"
"Blind/low vision",""
"Female","82"
"Male","52"
"","134"
"Deaf/hard of hearing",""
"Female","69"
"Male","39"
"","108"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","5"
"Male","5"
"","10"
"Mental disable",""
"Female","14"
"Male","8"
"","22"
"Multiple disable",""
"Female","3"
"Male","9"
"","12"
"No disability",""
"Female","9393"
"Male","8019"
"","17412"
"Physical",""
"Female","104"
"Male","107"
"","211"
"Speech problem",""
"Female","16"
"Male","19"
"","35"
