"Population by Educational Attainment","Number"
"Beginners",""
"Female","142"
"Male","176"
"Graduate and Equivalent",""
"Female","16"
"Male","98"
"Intermediate and Equivalent",""
"Female","72"
"Male","226"
"Level not Stated",""
"Female","28"
"Male","27"
"Lower Secondary (Class 6-8)",""
"Female","396"
"Male","1047"
"Non Formal Education",""
"Female","10"
"Male","12"
"Others",""
"Female","3"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","31"
"Primary Education (1-5 Class)",""
"Female","1384"
"Male","2139"
"Secondary Level (Class 9-10)",""
"Female","239"
"Male","717"
"SLC and Equivalent",""
"Female","127"
"Male","317"
