"Population by disability type","Number"
"Blind/low vision",""
"Female","125"
"Male","107"
"","232"
"Deaf/hard of hearing",""
"Female","128"
"Male","138"
"","266"
"Deaf-Blind",""
"Female","18"
"Male","11"
"","29"
"Intellectual disable",""
"Female","13"
"Male","18"
"","31"
"Mental disable",""
"Female","26"
"Male","34"
"","60"
"Multiple disable",""
"Female","25"
"Male","52"
"","77"
"No disability",""
"Female","16057"
"Male","14512"
"","30569"
"Physical",""
"Female","388"
"Male","517"
"","905"
"Speech problem",""
"Female","29"
"Male","33"
"","62"
