"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","27"
"","58"
"Deaf/hard of hearing",""
"Female","37"
"Male","41"
"","78"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","0"
"Male","4"
"","4"
"Mental disable",""
"Female","9"
"Male","6"
"","15"
"Multiple disable",""
"Female","17"
"Male","29"
"","46"
"No disability",""
"Female","7031"
"Male","5950"
"","12981"
"Physical",""
"Female","55"
"Male","90"
"","145"
"Speech problem",""
"Female","8"
"Male","29"
"","37"
