"Population by Educational Attainment","Number"
"Beginners",""
"Female","142"
"Male","118"
"","260"
"Graduate and Equivalent",""
"Female","18"
"Male","41"
"","59"
"Intermediate and Equivalent",""
"Female","127"
"Male","127"
"","254"
"Level not Stated",""
"Female","11"
"Male","12"
"","23"
"Lower Secondary (Class 6-8)",""
"Female","765"
"Male","855"
"","1620"
"Non Formal Education",""
"Female","184"
"Male","131"
"","315"
"Others",""
"Female","0"
"Male","1"
"","1"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","17"
"","19"
"Primary Education (1-5 Class)",""
"Female","1879"
"Male","1969"
"","3848"
"Secondary Level (Class 9-10)",""
"Female","441"
"Male","575"
"","1016"
"SLC and Equivalent",""
"Female","469"
"Male","501"
"","970"
