"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","32"
"","64"
"Deaf/hard of hearing",""
"Female","40"
"Male","40"
"","80"
"Deaf-Blind",""
"Female","0"
"Male","4"
"","4"
"Intellectual disable",""
"Female","10"
"Male","10"
"","20"
"Mental disable",""
"Female","22"
"Male","14"
"","36"
"Multiple disable",""
"Female","25"
"Male","26"
"","51"
"No disability",""
"Female","10357"
"Male","8014"
"","18371"
"Physical",""
"Female","84"
"Male","90"
"","174"
"Speech problem",""
"Female","31"
"Male","45"
"","76"
