"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","53"
"","96"
"Deaf/hard of hearing",""
"Female","19"
"Male","33"
"","52"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","2"
"Male","11"
"","13"
"Mental disable",""
"Female","30"
"Male","18"
"","48"
"Multiple disable",""
"Female","22"
"Male","29"
"","51"
"No disability",""
"Female","20459"
"Male","19806"
"","40265"
"Physical",""
"Female","70"
"Male","121"
"","191"
"Speech problem",""
"Female","59"
"Male","62"
"","121"
