"Population by Educational Attainment","Number"
"Beginners",""
"Female","786"
"Male","873"
"","1659"
"Graduate and Equivalent",""
"Female","43"
"Male","169"
"","212"
"Intermediate and Equivalent",""
"Female","149"
"Male","396"
"","545"
"Level not Stated",""
"Female","39"
"Male","35"
"","74"
"Lower Secondary (Class 6-8)",""
"Female","1616"
"Male","2026"
"","3642"
"Non Formal Education",""
"Female","31"
"Male","60"
"","91"
"Others",""
"Female","4"
"Male","2"
"","6"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","35"
"","43"
"Primary Education (1-5 Class)",""
"Female","4941"
"Male","5903"
"","10844"
"Secondary Level (Class 9-10)",""
"Female","665"
"Male","1207"
"","1872"
"SLC and Equivalent",""
"Female","357"
"Male","669"
"","1026"
