"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","10"
"Male","23"
"Baraee",""
"Female","9"
"Male","15"
"Brahman - Hill",""
"Female","1961"
"Male","1697"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","10"
"Chamling",""
"Female","13"
"Male","11"
"Chhetri",""
"Female","6354"
"Male","5653"
"Damai/Dholi",""
"Female","1075"
"Male","1026"
"Danuwar",""
"Female","2734"
"Male","2270"
"Dhanuk",""
"Female","8"
"Male","15"
"Dom",""
"Female","29"
"Male","35"
"Gharti/Bhujel",""
"Female","283"
"Male","276"
"Gurung",""
"Female","83"
"Male","75"
"Hajam/Thakur",""
"Female","27"
"Male","33"
"Halwai",""
"Female","104"
"Male","101"
"Hayu",""
"Female","15"
"Male","8"
"Jhangad/ Dhagar",""
"Female","9"
"Male","4"
"Kalwar",""
"Female","110"
"Male","166"
"Kami",""
"Female","1397"
"Male","1222"
"Kathabaniyan",""
"Female","94"
"Male","122"
"Kayastha",""
"Female","4"
"Male","10"
"Kewat",""
"Female","18"
"Male","13"
"Koiri/Kushwaha",""
"Female","8"
"Male","11"
"Kumal",""
"Female","11"
"Male","10"
"Limbu",""
"Female","20"
"Male","13"
"Magar",""
"Female","5296"
"Male","4781"
"Majhi",""
"Female","528"
"Male","466"
"Mallaha",""
"Female","9"
"Male","14"
"Musahar",""
"Female","227"
"Male","229"
"Musalman",""
"Female","218"
"Male","246"
"Newar",""
"Female","1658"
"Male","1519"
"Others",""
"Female","53"
"Male","69"
"Rai",""
"Female","1953"
"Male","1707"
"Rajbansi",""
"Female","9"
"Male","10"
"Rajput",""
"Female","14"
"Male","18"
"Sanyasi/Dasnami",""
"Female","218"
"Male","191"
"Sarki",""
"Female","643"
"Male","563"
"Satar/ Santhal",""
"Female","8"
"Male","4"
"Sonar",""
"Female","12"
"Male","12"
"Sudhi",""
"Female","110"
"Male","107"
"Sunuwar",""
"Female","1029"
"Male","925"
"Tamang",""
"Female","2838"
"Male","2525"
"Teli",""
"Female","65"
"Male","98"
"Terai Others",""
"Female","35"
"Male","22"
"Thakuri",""
"Female","63"
"Male","55"
"Thami",""
"Female","62"
"Male","48"
"Tharu",""
"Female","37"
"Male","56"
"Undefined Others",""
"Female","46"
"Male","41"
"Walung",""
"Female","7"
"Male","6"
"Yadav",""
"Female","39"
"Male","51"
