"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","9"
"Male","6"
"Badhaee",""
"Female","59"
"Male","53"
"Bangali",""
"Female","18"
"Male","22"
"Baraee",""
"Female","481"
"Male","498"
"Bin",""
"Female","532"
"Male","593"
"Brahman - Hill",""
"Female","424"
"Male","383"
"Brahman - Tarai",""
"Female","266"
"Male","269"
"Chamar/ Harijan/ Ram",""
"Female","1319"
"Male","1369"
"Chhetri",""
"Female","482"
"Male","481"
"Damai/Dholi",""
"Female","177"
"Male","168"
"Danuwar",""
"Female","775"
"Male","779"
"Dhankar/ Dharikar",""
"Female","21"
"Male","15"
"Dhanuk",""
"Female","815"
"Male","822"
"Dhobi",""
"Female","80"
"Male","79"
"Dom",""
"Female","33"
"Male","45"
"Dusadh/ Pasawan/ Pasi",""
"Female","611"
"Male","653"
"Gaderi/Bhedihar",""
"Female","17"
"Male","19"
"Gharti/Bhujel",""
"Female","158"
"Male","154"
"Gurung",""
"Female","12"
"Male","10"
"Hajam/Thakur",""
"Female","460"
"Male","482"
"Halkhor",""
"Female","14"
"Male","13"
"Halwai",""
"Female","359"
"Male","377"
"Kalar",""
"Female","7"
"Male","9"
"Kalwar",""
"Female","670"
"Male","689"
"Kami",""
"Female","291"
"Male","290"
"Kanu",""
"Female","739"
"Male","762"
"Kathabaniyan",""
"Female","316"
"Male","386"
"Kayastha",""
"Female","44"
"Male","42"
"Kewat",""
"Female","73"
"Male","80"
"Khatwe",""
"Female","547"
"Male","578"
"Koiri/Kushwaha",""
"Female","6876"
"Male","7336"
"Kumal",""
"Female","10"
"Male","6"
"Kumhar",""
"Female","115"
"Male","115"
"Kurmi",""
"Female","357"
"Male","386"
"Lohar",""
"Female","254"
"Male","283"
"Magar",""
"Female","2741"
"Male","2507"
"Majhi",""
"Female","19"
"Male","13"
"Mali",""
"Female","27"
"Male","25"
"Mallaha",""
"Female","172"
"Male","205"
"Musahar",""
"Female","1207"
"Male","1365"
"Musalman",""
"Female","2037"
"Male","1953"
"Newar",""
"Female","658"
"Male","657"
"Nuniya",""
"Female","390"
"Male","423"
"Others",""
"Female","32"
"Male","12"
"Punjabi/Sikh",""
"Female","50"
"Male","47"
"Rai",""
"Female","29"
"Male","35"
"Rajput",""
"Female","75"
"Male","73"
"Sanyasi/Dasnami",""
"Female","157"
"Male","153"
"Sarki",""
"Female","6"
"Male","5"
"Satar/ Santhal",""
"Female","6"
"Male","6"
"Sonar",""
"Female","453"
"Male","450"
"Sudhi",""
"Female","767"
"Male","770"
"Sunuwar",""
"Female","25"
"Male","25"
"Tamang",""
"Female","606"
"Male","596"
"Tatma/Tatwa",""
"Female","300"
"Male","296"
"Teli",""
"Female","1816"
"Male","1901"
"Terai Others",""
"Female","63"
"Male","44"
"Thakuri",""
"Female","29"
"Male","30"
"Tharu",""
"Female","1019"
"Male","983"
"Undefined Others",""
"Female","14"
"Male","16"
"Yadav",""
"Female","2807"
"Male","2909"
