"Population by Caste/Ethinicity","Number"
"Bantar/Sardar",""
"Female","89"
"Male","94"
"Baraee",""
"Female","121"
"Male","128"
"Bin",""
"Female","216"
"Male","263"
"Brahman - Hill",""
"Female","12"
"Male","4"
"Brahman - Tarai",""
"Female","269"
"Male","268"
"Chamar/ Harijan/ Ram",""
"Female","545"
"Male","563"
"Chhetri",""
"Female","17"
"Male","14"
"Dhanuk",""
"Female","14"
"Male","15"
"Dhobi",""
"Female","99"
"Male","102"
"Dhunia",""
"Female","17"
"Male","13"
"Dom",""
"Female","17"
"Male","20"
"Dusadh/ Pasawan/ Pasi",""
"Female","26"
"Male","26"
"Hajam/Thakur",""
"Female","170"
"Male","195"
"Halwai",""
"Female","86"
"Male","87"
"Kalwar",""
"Female","44"
"Male","40"
"Kathabaniyan",""
"Female","71"
"Male","56"
"Khatwe",""
"Female","163"
"Male","189"
"Koiri/Kushwaha",""
"Female","1186"
"Male","1238"
"Kurmi",""
"Female","411"
"Male","415"
"Lohar",""
"Female","214"
"Male","235"
"Mali",""
"Female","27"
"Male","26"
"Mallaha",""
"Female","370"
"Male","448"
"Musahar",""
"Female","50"
"Male","67"
"Musalman",""
"Female","1197"
"Male","1210"
"Nuniya",""
"Female","69"
"Male","80"
"Others",""
"Female","36"
"Male","11"
"Pattharkatta/ Kushwadiya",""
"Female","6"
"Male","7"
"Sonar",""
"Female","92"
"Male","88"
"Sudhi",""
"Female","758"
"Male","811"
"Tatma/Tatwa",""
"Female","98"
"Male","110"
"Teli",""
"Female","494"
"Male","458"
"Undefined Others",""
"Female","23"
"Male","23"
"Yadav",""
"Female","5209"
"Male","5962"
