"Population by disability type","Number"
"Blind/low vision",""
"Female","128"
"Male","140"
"","268"
"Deaf/hard of hearing",""
"Female","105"
"Male","152"
"","257"
"Deaf-Blind",""
"Female","8"
"Male","9"
"","17"
"Intellectual disable",""
"Female","3"
"Male","12"
"","15"
"Mental disable",""
"Female","15"
"Male","11"
"","26"
"Multiple disable",""
"Female","32"
"Male","47"
"","79"
"No disability",""
"Female","8985"
"Male","8764"
"","17749"
"Physical",""
"Female","105"
"Male","162"
"","267"
"Speech problem",""
"Female","44"
"Male","54"
"","98"
