"Population by Educational Attainment","Number"
"Beginners",""
"Female","4439"
"Male","5300"
"","9739"
"Graduate and Equivalent",""
"Female","5285"
"Male","8902"
"","14187"
"Intermediate and Equivalent",""
"Female","15984"
"Male","18568"
"","34552"
"Level not Stated",""
"Female","459"
"Male","418"
"","877"
"Lower Secondary (Class 6-8)",""
"Female","32429"
"Male","30300"
"","62729"
"Non Formal Education",""
"Female","6425"
"Male","4605"
"","11030"
"Others",""
"Female","76"
"Male","89"
"","165"
"Post Graduate Equivalent and Above",""
"Female","1163"
"Male","3818"
"","4981"
"Primary Education (1-5 Class)",""
"Female","41905"
"Male","42790"
"","84695"
"Secondary Level (Class 9-10)",""
"Female","22633"
"Male","22490"
"","45123"
"SLC and Equivalent",""
"Female","21793"
"Male","25419"
"","47212"
