"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","11"
"Male","42"
"","53"
"Badi",""
"Female","2005"
"Male","1757"
"","3762"
"Bangali",""
"Female","75"
"Male","225"
"","300"
"Bantaba",""
"Female","12"
"Male","10"
"","22"
"Baraee",""
"Female","30"
"Male","62"
"","92"
"Bhote",""
"Female","23"
"Male","25"
"","48"
"Bote",""
"Female","11"
"Male","4"
"","15"
"Brahman - Hill",""
"Female","57759"
"Male","54945"
"","112704"
"Brahman - Tarai",""
"Female","85"
"Male","101"
"","186"
"Brahmu/ Baramo",""
"Female","13"
"Male","11"
"","24"
"Chamar/ Harijan/ Ram",""
"Female","50"
"Male","111"
"","161"
"Chamling",""
"Female","5"
"Male","10"
"","15"
"Chepang /Praja",""
"Female","30"
"Male","38"
"","68"
"Chhantyal/Chhantel",""
"Female","397"
"Male","365"
"","762"
"Chhetri",""
"Female","32680"
"Male","29330"
"","62010"
"Dalit Others",""
"Female","423"
"Male","426"
"","849"
"Damai/Dholi",""
"Female","7075"
"Male","6064"
"","13139"
"Danuwar",""
"Female","25"
"Male","37"
"","62"
"Darai",""
"Female","39"
"Male","39"
"","78"
"Dhanuk",""
"Female","21"
"Male","60"
"","81"
"Dhimal",""
"Female","13"
"Male","15"
"","28"
"Dhobi",""
"Female","13"
"Male","33"
"","46"
"Dura",""
"Female","207"
"Male","167"
"","374"
"Dusadh/ Pasawan/ Pasi",""
"Female","15"
"Male","46"
"","61"
"Foreigner",""
"Female","108"
"Male","210"
"","318"
"Gaine",""
"Female","323"
"Male","276"
"","599"
"Ghale",""
"Female","266"
"Male","251"
"","517"
"Gharti/Bhujel",""
"Female","3009"
"Male","2706"
"","5715"
"Gurung",""
"Female","36200"
"Male","28578"
"","64778"
"Hajam/Thakur",""
"Female","139"
"Male","357"
"","496"
"Halwai",""
"Female","193"
"Male","309"
"","502"
"Hyolmo",""
"Female","93"
"Male","63"
"","156"
"Jhangad/ Dhagar",""
"Female","4"
"Male","8"
"","12"
"Jirel",""
"Female","19"
"Male","13"
"","32"
"Kahar",""
"Female","5"
"Male","16"
"","21"
"Kalwar",""
"Female","295"
"Male","537"
"","832"
"Kamar",""
"Female","6"
"Male","7"
"","13"
"Kami",""
"Female","14866"
"Male","12565"
"","27431"
"Kanu",""
"Female","16"
"Male","84"
"","100"
"Kathabaniyan",""
"Female","232"
"Male","386"
"","618"
"Kayastha",""
"Female","33"
"Male","60"
"","93"
"Kewat",""
"Female","12"
"Male","20"
"","32"
"Khatwe",""
"Female","6"
"Male","9"
"","15"
"Khawas",""
"Female","93"
"Male","81"
"","174"
"Kisan",""
"Female","5"
"Male","12"
"","17"
"Koiri/Kushwaha",""
"Female","85"
"Male","188"
"","273"
"Kumal",""
"Female","900"
"Male","930"
"","1830"
"Kumhar",""
"Female","3"
"Male","22"
"","25"
"Kurmi",""
"Female","38"
"Male","104"
"","142"
"Lhomi",""
"Female","9"
"Male","5"
"","14"
"Limbu",""
"Female","283"
"Male","307"
"","590"
"Lodh",""
"Female","14"
"Male","7"
"","21"
"Lohar",""
"Female","11"
"Male","41"
"","52"
"Magar",""
"Female","19275"
"Male","17478"
"","36753"
"Majhi",""
"Female","120"
"Male","199"
"","319"
"Mali",""
"Female","17"
"Male","18"
"","35"
"Mallaha",""
"Female","19"
"Male","51"
"","70"
"Marwadi",""
"Female","73"
"Male","101"
"","174"
"Musahar",""
"Female","16"
"Male","11"
"","27"
"Musalman",""
"Female","1347"
"Male","2422"
"","3769"
"Newar",""
"Female","11237"
"Male","10712"
"","21949"
"Nuniya",""
"Female","15"
"Male","39"
"","54"
"Others",""
"Female","57"
"Male","66"
"","123"
"Pahari",""
"Female","4"
"Male","7"
"","11"
"Pattharkatta/ Kushwadiya",""
"Female","6"
"Male","5"
"","11"
"Punjabi/Sikh",""
"Female","10"
"Male","15"
"","25"
"Rai",""
"Female","1511"
"Male","1599"
"","3110"
"Rajbansi",""
"Female","11"
"Male","25"
"","36"
"Rajdhob",""
"Female","4"
"Male","25"
"","29"
"Rajput",""
"Female","28"
"Male","38"
"","66"
"Sanyasi/Dasnami",""
"Female","1810"
"Male","1779"
"","3589"
"Sarki",""
"Female","4283"
"Male","3776"
"","8059"
"Satar/ Santhal",""
"Female","28"
"Male","26"
"","54"
"Sherpa",""
"Female","224"
"Male","235"
"","459"
"Sonar",""
"Female","445"
"Male","400"
"","845"
"Sudhi",""
"Female","10"
"Male","29"
"","39"
"Sunuwar",""
"Female","101"
"Male","102"
"","203"
"Tamang",""
"Female","5644"
"Male","5529"
"","11173"
"Tatma/Tatwa",""
"Female","14"
"Male","24"
"","38"
"Teli",""
"Female","188"
"Male","476"
"","664"
"Terai Others",""
"Female","157"
"Male","224"
"","381"
"Thakali",""
"Female","1150"
"Male","920"
"","2070"
"Thakuri",""
"Female","2939"
"Male","2604"
"","5543"
"Thami",""
"Female","6"
"Male","7"
"","13"
"Tharu",""
"Female","821"
"Male","1606"
"","2427"
"Undefined Others",""
"Female","59"
"Male","63"
"","122"
"Yadav",""
"Female","90"
"Male","264"
"","354"
"Yakkha",""
"Female","16"
"Male","27"
"","43"
