"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","43"
"","90"
"Deaf/hard of hearing",""
"Female","40"
"Male","44"
"","84"
"Deaf-Blind",""
"Female","4"
"Male","7"
"","11"
"Intellectual disable",""
"Female","8"
"Male","15"
"","23"
"Mental disable",""
"Female","22"
"Male","26"
"","48"
"Multiple disable",""
"Female","17"
"Male","31"
"","48"
"No disability",""
"Female","27430"
"Male","23634"
"","51064"
"Physical",""
"Female","108"
"Male","137"
"","245"
"Speech problem",""
"Female","62"
"Male","47"
"","109"
