"Population by disability type","Number"
"Blind/low vision",""
"Female","98"
"Male","94"
"","192"
"Deaf/hard of hearing",""
"Female","51"
"Male","63"
"","114"
"Deaf-Blind",""
"Female","16"
"Male","15"
"","31"
"Intellectual disable",""
"Female","4"
"Male","13"
"","17"
"Mental disable",""
"Female","27"
"Male","23"
"","50"
"Multiple disable",""
"Female","31"
"Male","41"
"","72"
"No disability",""
"Female","25543"
"Male","22976"
"","48519"
"Physical",""
"Female","163"
"Male","203"
"","366"
"Speech problem",""
"Female","54"
"Male","64"
"","118"
