"Population by Educational Attainment","Number"
"Beginners",""
"Female","977"
"Male","1104"
"Graduate and Equivalent",""
"Female","95"
"Male","335"
"Intermediate and Equivalent",""
"Female","668"
"Male","944"
"Level not Stated",""
"Female","50"
"Male","50"
"Lower Secondary (Class 6-8)",""
"Female","5312"
"Male","5340"
"Non Formal Education",""
"Female","1788"
"Male","1975"
"Others",""
"Female","2"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","77"
"Primary Education (1-5 Class)",""
"Female","8868"
"Male","9661"
"Secondary Level (Class 9-10)",""
"Female","3236"
"Male","3257"
"SLC and Equivalent",""
"Female","3145"
"Male","3013"
