"Population by disability type","Number"
"Blind/low vision",""
"Female","96"
"Male","131"
"","227"
"Deaf/hard of hearing",""
"Female","102"
"Male","102"
"","204"
"Deaf-Blind",""
"Female","7"
"Male","6"
"","13"
"Intellectual disable",""
"Female","16"
"Male","25"
"","41"
"Mental disable",""
"Female","20"
"Male","32"
"","52"
"Multiple disable",""
"Female","36"
"Male","36"
"","72"
"No disability",""
"Female","30854"
"Male","27997"
"","58851"
"Physical",""
"Female","142"
"Male","236"
"","378"
"Speech problem",""
"Female","56"
"Male","52"
"","108"
