"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","32"
"","64"
"Deaf/hard of hearing",""
"Female","57"
"Male","63"
"","120"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","13"
"Male","11"
"","24"
"Multiple disable",""
"Female","32"
"Male","29"
"","61"
"No disability",""
"Female","9462"
"Male","8706"
"","18168"
"Physical",""
"Female","72"
"Male","116"
"","188"
"Speech problem",""
"Female","34"
"Male","44"
"","78"
