"Population by disability type","Number"
"Blind/low vision",""
"Female","94"
"Male","59"
"","153"
"Deaf/hard of hearing",""
"Female","45"
"Male","42"
"","87"
"Deaf-Blind",""
"Female","26"
"Male","22"
"","48"
"Intellectual disable",""
"Female","4"
"Male","8"
"","12"
"Mental disable",""
"Female","15"
"Male","11"
"","26"
"Multiple disable",""
"Female","38"
"Male","19"
"","57"
"No disability",""
"Female","13630"
"Male","10825"
"","24455"
"Physical",""
"Female","127"
"Male","133"
"","260"
"Speech problem",""
"Female","24"
"Male","27"
"","51"
