"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","45"
"","94"
"Deaf/hard of hearing",""
"Female","24"
"Male","28"
"","52"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","8"
"Male","9"
"","17"
"Mental disable",""
"Female","13"
"Male","16"
"","29"
"Multiple disable",""
"Female","6"
"Male","10"
"","16"
"No disability",""
"Female","18236"
"Male","16534"
"","34770"
"Physical",""
"Female","73"
"Male","98"
"","171"
"Speech problem",""
"Female","23"
"Male","34"
"","57"
