"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","16"
"Bajjika",""
"Female","5"
"Male","24"
"Bangla",""
"Female","75"
"Male","314"
"Bantawa",""
"Female","37"
"Male","38"
"Belhare",""
"Female","5"
"Male","6"
"Bhojpuri",""
"Female","865"
"Male","2545"
"Bhujel",""
"Female","207"
"Male","188"
"Chepang",""
"Female","4"
"Male","14"
"Chhantyal",""
"Female","216"
"Male","172"
"Darai",""
"Female","11"
"Male","16"
"Doteli",""
"Female","10"
"Male","18"
"Dura",""
"Female","61"
"Male","47"
"English",""
"Female","36"
"Male","57"
"Ghale",""
"Female","69"
"Male","71"
"Gurung",""
"Female","32403"
"Male","25370"
"Hindi",""
"Female","723"
"Male","1787"
"Hyolmo/Yholmo",""
"Female","94"
"Male","58"
"Jirel",""
"Female","18"
"Male","12"
"Kham",""
"Female","531"
"Male","465"
"Kulung",""
"Female","11"
"Male","20"
"Kumal",""
"Female","19"
"Male","25"
"Limbu",""
"Female","94"
"Male","118"
"Magar",""
"Female","5447"
"Male","5076"
"Maithili",""
"Female","636"
"Male","1647"
"Nepali",""
"Female","199603"
"Male","178060"
"Newar",""
"Female","5365"
"Male","5043"
"Not Reported",""
"Female","112"
"Male","132"
"Oriya",""
"Female","21"
"Male","70"
"Others",""
"Female","235"
"Male","283"
"Punjabi",""
"Female","6"
"Male","7"
"Rai",""
"Female","486"
"Male","550"
"Rajbanshi",""
"Female","8"
"Male","11"
"Rajsthani",""
"Female","9"
"Male","8"
"Sanskrit",""
"Female","4"
"Male","8"
"Santhali",""
"Female","25"
"Male","24"
"Sherpa",""
"Female","81"
"Male","93"
"Sign Language",""
"Female","15"
"Male","25"
"Sunuwar",""
"Female","15"
"Male","18"
"Tamang",""
"Female","3549"
"Male","3489"
"Thakali",""
"Female","538"
"Male","446"
"Tharu",""
"Female","302"
"Male","714"
"Tibetan",""
"Female","11"
"Male","14"
"Uranw/Urau",""
"Female","4"
"Male","9"
"Urdu",""
"Female","902"
"Male","958"
"Yakkha",""
"Female","5"
"Male","8"
