"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","28"
"","51"
"Deaf/hard of hearing",""
"Female","9"
"Male","11"
"","20"
"Deaf-Blind",""
"Female","1"
"Male","6"
"","7"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","12"
"Male","10"
"","22"
"Multiple disable",""
"Female","12"
"Male","15"
"","27"
"No disability",""
"Female","18663"
"Male","19390"
"","38053"
"Physical",""
"Female","27"
"Male","53"
"","80"
"Speech problem",""
"Female","18"
"Male","18"
"","36"
