"Population by disability type","Number"
"Blind/low vision",""
"Female","1281"
"Male","1391"
"","2672"
"Deaf/hard of hearing",""
"Female","1079"
"Male","1209"
"","2288"
"Deaf-Blind",""
"Female","106"
"Male","148"
"","254"
"Intellectual disable",""
"Female","270"
"Male","292"
"","562"
"Mental disable",""
"Female","562"
"Male","681"
"","1243"
"Multiple disable",""
"Female","750"
"Male","812"
"","1562"
"No disability",""
"Female","490170"
"Male","452488"
"","942658"
"Physical",""
"Female","2396"
"Male","3620"
"","6016"
"Speech problem",""
"Female","1061"
"Male","1252"
"","2313"
