"Population by Caste Ethinicity","Number"
"Aathpariya",""
"Female","35"
"Male","25"
"","60"
"Amat",""
"Female","420"
"Male","448"
"","868"
"Badhaee",""
"Female","816"
"Male","875"
"","1691"
"Badi",""
"Female","456"
"Male","494"
"","950"
"Bahing",""
"Female","16"
"Male","8"
"","24"
"Bangali",""
"Female","1603"
"Male","1841"
"","3444"
"Bantaba",""
"Female","364"
"Male","318"
"","682"
"Bantar/Sardar",""
"Female","11264"
"Male","11249"
"","22513"
"Baraee",""
"Female","541"
"Male","549"
"","1090"
"Bhote",""
"Female","81"
"Male","72"
"","153"
"Bin",""
"Female","730"
"Male","740"
"","1470"
"Brahman - Hill",""
"Female","66880"
"Male","58558"
"","125438"
"Brahman - Tarai",""
"Female","928"
"Male","996"
"","1924"
"Brahmu/ Baramo",""
"Female","72"
"Male","75"
"","147"
"Byasi/Sauka",""
"Female","22"
"Male","28"
"","50"
"Chamar/ Harijan/ Ram",""
"Female","1848"
"Male","1898"
"","3746"
"Chamling",""
"Female","253"
"Male","213"
"","466"
"Chepang /Praja",""
"Female","111"
"Male","117"
"","228"
"Chhetri",""
"Female","62034"
"Male","52727"
"","114761"
"Dalit Others",""
"Female","647"
"Male","674"
"","1321"
"Damai/Dholi",""
"Female","6598"
"Male","5560"
"","12158"
"Danuwar",""
"Female","1072"
"Male","1010"
"","2082"
"Darai",""
"Female","7"
"Male","8"
"","15"
"Dev",""
"Female","171"
"Male","208"
"","379"
"Dhandi",""
"Female","5"
"Male","6"
"","11"
"Dhanuk",""
"Female","5642"
"Male","6178"
"","11820"
"Dhimal",""
"Female","6316"
"Male","5115"
"","11431"
"Dhobi",""
"Female","568"
"Male","602"
"","1170"
"Dhunia",""
"Female","33"
"Male","27"
"","60"
"Dom",""
"Female","593"
"Male","578"
"","1171"
"Dusadh/ Pasawan/ Pasi",""
"Female","3639"
"Male","3738"
"","7377"
"Foreigner",""
"Female","113"
"Male","131"
"","244"
"Gaderi/Bhedihar",""
"Female","192"
"Male","214"
"","406"
"Gangai",""
"Female","13379"
"Male","13332"
"","26711"
"Ghale",""
"Female","42"
"Male","36"
"","78"
"Gharti/Bhujel",""
"Female","2087"
"Male","1848"
"","3935"
"Gurung",""
"Female","4631"
"Male","3872"
"","8503"
"Hajam/Thakur",""
"Female","2905"
"Male","3123"
"","6028"
"Halkhor",""
"Female","75"
"Male","71"
"","146"
"Halwai",""
"Female","3602"
