"Population by disability type","Number"
"Blind/low vision",""
"Female","62"
"Male","73"
"","135"
"Deaf/hard of hearing",""
"Female","64"
"Male","103"
"","167"
"Deaf-Blind",""
"Female","13"
"Male","11"
"","24"
"Intellectual disable",""
"Female","11"
"Male","10"
"","21"
"Mental disable",""
"Female","28"
"Male","26"
"","54"
"Multiple disable",""
"Female","41"
"Male","36"
"","77"
"No disability",""
"Female","16663"
"Male","15075"
"","31738"
"Physical",""
"Female","107"
"Male","162"
"","269"
"Speech problem",""
"Female","36"
"Male","55"
"","91"
