"Population by Educational Attainment","Number"
"Beginners",""
"Female","13757"
"Male","15738"
"Graduate and Equivalent",""
"Female","2060"
"Male","5261"
"Intermediate and Equivalent",""
"Female","8275"
"Male","14093"
"Level not Stated",""
"Female","670"
"Male","711"
"Lower Secondary (Class 6-8)",""
"Female","46296"
"Male","55393"
"Non Formal Education",""
"Female","12810"
"Male","8113"
"Others",""
"Female","178"
"Male","217"
"Post Graduate Equivalent and Above",""
"Female","412"
"Male","1914"
"Primary Education (1-5 Class)",""
"Female","89000"
"Male","105042"
"Secondary Level (Class 9-10)",""
"Female","24583"
"Male","32369"
"SLC and Equivalent",""
"Female","14087"
"Male","20266"
